hunt_name,hunt_type,wma_location,start_date,end_date,permits_available,duration_days
Phil Bryant (Goose Lake Unit) - Archery Hunt 6,Deer Archery,Phil Bryant (Goose Lake Unit),2025-11-06,2025-11-09,24,4
Phil Bryant (Goose Lake Unit) - Archery Hunt 7,Deer Archery,Phil Bryant (Goose Lake Unit),2025-11-13,2025-11-16,24,4
Phil Bryant (Goose Lake Unit) - Archery Hunt 8,Deer Archery,Phil Bryant (Goose Lake Unit),2025-11-20,2025-11-23,24,4
Phil Bryant (Goose Lake Unit) - Archery Hunt 9,Deer Archery,Phil Bryant (Goose Lake Unit),2025-11-27,2025-11-30,24,4
Phil Bryant (Goose Lake Unit) - Archery Hunt 10,Deer Archery,Phil Bryant (Goose Lake Unit),2025-12-04,2025-12-07,24,4
Phil Bryant (Goose Lake Unit) - Archery Hunt 11,Deer Archery,Phil Bryant (Goose Lake Unit),2025-12-11,2025-12-14,24,4
Phil Bryant (Goose Lake Unit) - Archery Hunt 12,Deer Archery,Phil Bryant (Goose Lake Unit),2025-12-18,2025-12-21,24,4
Phil Bryant (Goose Lake Unit) - Archery Hunt 13,Deer Archery,Phil Bryant (Goose Lake Unit),2025-12-25,2025-12-28,24,4
Phil Bryant (Goose Lake Unit) - Archery Hunt 14,Deer Archery,Phil Bryant (Goose Lake Unit),2026-01-01,2026-01-04,24,4
Phil Bryant (Goose Lake Unit) - Archery Hunt 15,Deer Archery,Phil Bryant (Goose Lake Unit),2026-01-08,2026-01-11,24,4
Phil Bryant (Ten Point Unit) - Archery Hunt 1,Deer Archery,Phil Bryant (Ten Point Unit),2025-10-02,2025-10-05,24,4
Phil Bryant (Ten Point Unit) - Archery Hunt 2,Deer Archery,Phil Bryant (Ten Point Unit),2025-10-09,2025-10-12,24,4
Phil Bryant (Ten Point Unit) - Archery Hunt 3,Deer Archery,Phil Bryant (Ten Point Unit),2025-10-16,2025-10-19,24,4
Phil Bryant (Ten Point Unit) - Archery Hunt 4,Deer Archery,Phil Bryant (Ten Point Unit),2025-10-23,2025-10-26,24,4
Phil Bryant (Ten Point Unit) - Archery Hunt 5,Deer Archery,Phil Bryant (Ten Point Unit),2025-10-30,2025-11-02,24,4
Phil Bryant (Ten Point Unit) - Archery Hunt 6,Deer Archery,Phil Bryant (Ten Point Unit),2025-11-06,2025-11-09,24,4
Phil Bryant (Ten Point Unit) - Archery Hunt 7,Deer Archery,Phil Bryant (Ten Point Unit),2025-11-13,2025-11-16,24,4
Phil Bryant (Ten Point Unit) - Archery Hunt 8,Deer Archery,Phil Bryant (Ten Point Unit),2025-11-20,2025-11-23,24,4
Phil Bryant (Ten Point Unit) - Archery Hunt 9,Deer Archery,Phil Bryant (Ten Point Unit),2025-11-27,2025-11-30,24,4
Sky Lake - Archery Hunt 1,Deer Archery,Sky Lake,2025-10-02,2025-10-04,15,3
Sky Lake - Archery Hunt 2,Deer Archery,Sky Lake,2025-10-09,2025-10-11,15,3
Sky Lake - Archery Hunt 3,Deer Archery,Sky Lake,2025-10-16,2025-10-18,15,3
Sky Lake - Archery Hunt 4,Deer Archery,Sky Lake,2025-10-23,2025-10-25,15,3
Sky Lake - Archery Hunt 5,Deer Archery,Sky Lake,2025-10-30,2025-11-01,15,3
Twin Oaks - Archery Hunt 1,Deer Archery,Twin Oaks,2025-10-02,2025-10-03,15,2
Twin Oaks - Archery Hunt 2,Deer Archery,Twin Oaks,2025-10-05,2025-10-06,15,2
Twin Oaks - Archery Hunt 3,Deer Archery,Twin Oaks,2025-10-09,2025-10-10,15,2
Twin Oaks - Archery Hunt 4,Deer Archery,Twin Oaks,2025-10-12,2025-10-13,15,2
Twin Oaks - Archery Hunt 5,Deer Archery,Twin Oaks,2025-10-16,2025-10-17,15,2
Twin Oaks - Archery Hunt 6,Deer Archery,Twin Oaks,2025-10-19,2025-10-20,15,2
Twin Oaks - Archery Hunt 7,Deer Archery,Twin Oaks,2025-10-23,2025-10-24,15,2
Twin Oaks - Archery Hunt 8,Deer Archery,Twin Oaks,2025-10-26,2025-10-27,15,2
Twin Oaks - Archery Hunt 9,Deer Archery,Twin Oaks,2025-10-30,2025-10-31,15,2
