hunt_name,hunt_type,wma_location,start_date,end_date,permits_available,duration_days
Mahannah - Archery Hunt 1,Deer Archery,Mahannah,2025-10-02,2025-10-03,20,2
Mahannah - Archery Hunt 2,Deer Archery,Mahannah,2025-10-05,2025-10-06,20,2
Mahannah - Archery Hunt 3,Deer Archery,Mahannah,2025-10-09,2025-10-10,20,2
Mahannah - Archery Hunt 4,Deer Archery,Mahannah,2025-10-12,2025-10-13,20,2
Mahannah - Archery Hunt 5,Deer Archery,Mahannah,2025-10-16,2025-10-17,20,2
Mahannah - Archery Hunt 6,Deer Archery,Mahannah,2025-10-19,2025-10-20,20,2
Mahannah - Archery Hunt 7,Deer Archery,Mahannah,2025-10-23,2025-10-24,20,2
Mahannah - Archery Hunt 8,Deer Archery,Mahannah,2025-10-26,2025-10-27,20,2
Mahannah - Archery Hunt 9,Deer Archery,Mahannah,2025-10-30,2025-10-31,20,2
Phil Bryant (Buck Bayou Unit) - Archery Hunt 1,Deer Archery,Phil Bryant (Buck Bayou Unit),2025-10-02,2025-10-03,12,2
Phil Bryant (Buck Bayou Unit) - Archery Hunt 2,Deer Archery,Phil Bryant (Buck Bayou Unit),2025-10-05,2025-10-06,12,2
Phil Bryant (Buck Bayou Unit) - Archery Hunt 3,Deer Archery,Phil Bryant (Buck Bayou Unit),2025-10-09,2025-10-10,12,2
Phil Bryant (Buck Bayou Unit) - Archery Hunt 4,Deer Archery,Phil Bryant (Buck Bayou Unit),2025-10-12,2025-10-13,12,2
Phil Bryant (Buck Bayou Unit) - Archery Hunt 5,Deer Archery,Phil Bryant (Buck Bayou Unit),2025-10-16,2025-10-17,12,2
Phil Bryant (Buck Bayou Unit) - Archery Hunt 6,Deer Archery,Phil Bryant (Buck Bayou Unit),2025-10-19,2025-10-20,12,2
Phil Bryant (Buck Bayou Unit) - Archery Hunt 7,Deer Archery,Phil Bryant (Buck Bayou Unit),2025-10-23,2025-10-24,12,2
Phil Bryant (Buck Bayou Unit) - Archery Hunt 8,Deer Archery,Phil Bryant (Buck Bayou Unit),2025-10-26,2025-10-27,12,2
Phil Bryant (Buck Bayou Unit) - Archery Hunt 9,Deer Archery,Phil Bryant (Buck Bayou Unit),2025-10-30,2025-10-31,12,2
Phil Bryant (Goose Lake Unit) - Archery Hunt 1,Deer Archery,Phil Bryant (Goose Lake Unit),2025-10-02,2025-10-05,24,4
Phil Bryant (Goose Lake Unit) - Archery Hunt 2,Deer Archery,Phil Bryant (Goose Lake Unit),2025-10-09,2025-10-12,24,4
Phil Bryant (Goose Lake Unit) - Archery Hunt 3,Deer Archery,Phil Bryant (Goose Lake Unit),2025-10-16,2025-10-19,24,4
Phil Bryant (Goose Lake Unit) - Archery Hunt 4,Deer Archery,Phil Bryant (Goose Lake Unit),2025-10-23,2025-10-26,24,4
Phil Bryant (Goose Lake Unit) - Archery Hunt 5,Deer Archery,Phil Bryant (Goose Lake Unit),2025-10-30,2025-11-02,24,4
